iso3,annee,bceao_taux_directeur
BEN,2000,6.5
BEN,2001,6.5
BEN,2002,6.5
BEN,2003,5.5
BEN,2004,4.5
BEN,2005,4.5
BEN,2006,4.5
BEN,2007,4.5
BEN,2008,4.75
BEN,2009,4.25
BEN,2010,4.25
BEN,2011,4.0
BEN,2012,3.5
BEN,2013,3.5
BEN,2014,3.5
BEN,2015,3.5
BEN,2016,3.5
BEN,2017,3.5
BEN,2018,3.5
BEN,2019,3.5
BEN,2020,3.5
BEN,2021,3.5
BEN,2022,3.5
BEN,2023,3.5
BEN,2024,3.5
BFA,2000,6.5
BFA,2001,6.5
BFA,2002,6.5
BFA,2003,5.5
BFA,2004,4.5
BFA,2005,4.5
BFA,2006,4.5
BFA,2007,4.5
BFA,2008,4.75
BFA,2009,4.25
BFA,2010,4.25
BFA,2011,4.0
BFA,2012,3.5
BFA,2013,3.5
BFA,2014,3.5
BFA,2015,3.5
BFA,2016,3.5
BFA,2017,3.5
BFA,2018,3.5
BFA,2019,3.5
BFA,2020,3.5
BFA,2021,3.5
BFA,2022,3.5
BFA,2023,3.5
BFA,2024,3.5
CIV,2000,6.5
CIV,2001,6.5
CIV,2002,6.5
CIV,2003,5.5
CIV,2004,4.5
CIV,2005,4.5
CIV,2006,4.5
CIV,2007,4.5
CIV,2008,4.75
CIV,2009,4.25
CIV,2010,4.25
CIV,2011,4.0
CIV,2012,3.5
CIV,2013,3.5
CIV,2014,3.5
CIV,2015,3.5
CIV,2016,3.5
CIV,2017,3.5
CIV,2018,3.5
CIV,2019,3.5
CIV,2020,3.5
CIV,2021,3.5
CIV,2022,3.5
CIV,2023,3.5
CIV,2024,3.5
GNB,2000,6.5
GNB,2001,6.5
GNB,2002,6.5
GNB,2003,5.5
GNB,2004,4.5
GNB,2005,4.5
GNB,2006,4.5
GNB,2007,4.5
GNB,2008,4.75
GNB,2009,4.25
GNB,2010,4.25
GNB,2011,4.0
GNB,2012,3.5
GNB,2013,3.5
GNB,2014,3.5
GNB,2015,3.5
GNB,2016,3.5
GNB,2017,3.5
GNB,2018,3.5
GNB,2019,3.5
GNB,2020,3.5
GNB,2021,3.5
GNB,2022,3.5
GNB,2023,3.5
GNB,2024,3.5
MLI,2000,6.5
MLI,2001,6.5
MLI,2002,6.5
MLI,2003,5.5
MLI,2004,4.5
MLI,2005,4.5
MLI,2006,4.5
MLI,2007,4.5
MLI,2008,4.75
MLI,2009,4.25
MLI,2010,4.25
MLI,2011,4.0
MLI,2012,3.5
MLI,2013,3.5
MLI,2014,3.5
MLI,2015,3.5
MLI,2016,3.5
MLI,2017,3.5
MLI,2018,3.5
MLI,2019,3.5
MLI,2020,3.5
MLI,2021,3.5
MLI,2022,3.5
MLI,2023,3.5
MLI,2024,3.5
NER,2000,6.5
NER,2001,6.5
NER,2002,6.5
NER,2003,5.5
NER,2004,4.5
NER,2005,4.5
NER,2006,4.5
NER,2007,4.5
NER,2008,4.75
NER,2009,4.25
NER,2010,4.25
NER,2011,4.0
NER,2012,3.5
NER,2013,3.5
NER,2014,3.5
NER,2015,3.5
NER,2016,3.5
NER,2017,3.5
NER,2018,3.5
NER,2019,3.5
NER,2020,3.5
NER,2021,3.5
NER,2022,3.5
NER,2023,3.5
NER,2024,3.5
SEN,2000,6.5
SEN,2001,6.5
SEN,2002,6.5
SEN,2003,5.5
SEN,2004,4.5
SEN,2005,4.5
SEN,2006,4.5
SEN,2007,4.5
SEN,2008,4.75
SEN,2009,4.25
SEN,2010,4.25
SEN,2011,4.0
SEN,2012,3.5
SEN,2013,3.5
SEN,2014,3.5
SEN,2015,3.5
SEN,2016,3.5
SEN,2017,3.5
SEN,2018,3.5
SEN,2019,3.5
SEN,2020,3.5
SEN,2021,3.5
SEN,2022,3.5
SEN,2023,3.5
SEN,2024,3.5
TGO,2000,6.5
TGO,2001,6.5
TGO,2002,6.5
TGO,2003,5.5
TGO,2004,4.5
TGO,2005,4.5
TGO,2006,4.5
TGO,2007,4.5
TGO,2008,4.75
TGO,2009,4.25
TGO,2010,4.25
TGO,2011,4.0
TGO,2012,3.5
TGO,2013,3.5
TGO,2014,3.5
TGO,2015,3.5
TGO,2016,3.5
TGO,2017,3.5
TGO,2018,3.5
TGO,2019,3.5
TGO,2020,3.5
TGO,2021,3.5
TGO,2022,3.5
TGO,2023,3.5
TGO,2024,3.5
