iso3,annee,imf_pib_croissance,imf_inflation,imf_solde_budgetaire,imf_dette_publique,imf_balance_courante
BEN,2000,5.9,4.2,-3.7,39.6,-2.3
BEN,2001,5.3,4.0,-3.3,38.0,-2.0
BEN,2002,4.6,2.4,-3.3,30.8,-3.7
BEN,2003,3.4,1.5,-1.1,23.4,-6.2
BEN,2004,4.4,0.9,-0.7,21.5,-4.7
BEN,2005,1.7,5.4,-1.5,27.0,-3.4
BEN,2006,3.9,3.8,-0.1,8.4,-3.1
BEN,2007,6.0,1.3,0.2,14.3,-6.5
BEN,2008,4.9,7.4,0.0,18.3,-5.5
BEN,2009,2.3,0.9,-2.2,18.7,-6.7
BEN,2010,2.1,2.1,-0.3,21.0,-5.6
BEN,2011,3.0,2.7,-1.0,21.9,-4.8
BEN,2012,4.8,6.7,-0.2,19.5,-5.2
BEN,2013,7.2,0.4,-1.4,18.5,-5.4
BEN,2014,6.4,-0.6,-1.7,22.3,-6.7
BEN,2015,1.8,0.2,-5.6,30.9,-6.0
BEN,2016,3.3,-0.8,-4.3,35.9,-3.0
BEN,2017,5.6,1.8,-4.2,39.4,-4.2
BEN,2018,6.6,0.8,-3.0,40.8,-4.5
BEN,2019,7.1,-0.9,-0.5,40.4,-3.9
BEN,2020,3.8,3.0,-4.7,46.1,-1.7
BEN,2021,7.2,1.7,-2.5,55.6,-4.2
BEN,2022,6.3,1.4,-5.6,59.7,-5.7
BEN,2023,6.4,2.7,-4.1,61.3,-8.2
BEN,2024,7.5,1.2,-3.1,60.5,-6.0
BFA,2000,1.9,-0.2,-3.0,,-10.8
BFA,2001,6.6,4.7,-3.6,,-9.1
BFA,2002,4.4,2.3,-4.4,43.3,-8.3
BFA,2003,7.8,2.0,-1.8,39.7,-7.8
BFA,2004,4.5,-0.4,-4.2,40.7,-9.8
BFA,2005,8.7,6.4,-4.9,39.2,-10.3
BFA,2006,6.3,2.3,14.3,20.1,-8.3
BFA,2007,4.1,-0.2,-5.0,22.4,-7.4
BFA,2008,5.8,10.7,-3.6,24.9,-10.2
BFA,2009,3.0,0.9,-4.2,25.9,-4.0
BFA,2010,8.4,-0.6,-4.1,23.7,-1.8
BFA,2011,6.6,2.8,-2.0,24.5,-1.3
BFA,2012,6.5,3.8,-2.8,25.2,-1.3
BFA,2013,5.8,0.5,-3.5,25.9,-10.0
BFA,2014,4.3,-0.3,-1.7,26.1,-7.2
BFA,2015,3.9,1.7,-2.1,31.3,-7.6
BFA,2016,6.0,0.4,-3.1,32.9,-6.1
BFA,2017,6.2,1.5,-6.9,33.9,-5.0
BFA,2018,6.6,2.0,-4.4,38.1,-4.2
BFA,2019,5.9,-3.2,-3.4,41.7,-3.3
BFA,2020,2.0,1.9,-5.2,43.6,4.2
BFA,2021,6.9,3.9,-7.4,55.5,0.4
BFA,2022,1.6,13.8,-10.9,59.2,-7.5
BFA,2023,3.0,0.9,-6.9,56.8,-5.1
BFA,2024,4.8,4.2,-5.8,57.2,-3.5
CIV,2000,-2.1,2.5,-0.8,74.0,-1.6
CIV,2001,0.1,4.4,0.7,71.2,-0.4
CIV,2002,-1.7,3.1,-0.6,63.0,4.5
CIV,2003,-1.4,3.3,-1.3,56.4,1.4
CIV,2004,1.2,1.5,-1.0,56.7,1.1
CIV,2005,1.7,3.9,-1.0,58.2,0.2
CIV,2006,1.5,2.5,-1.0,57.5,1.9
CIV,2007,1.8,1.9,-0.4,53.5,-0.5
CIV,2008,2.5,1.7,-0.2,51.2,1.3
CIV,2009,3.3,0.5,-1.0,46.5,4.8
CIV,2010,2.0,1.8,-1.3,45.6,1.4
CIV,2011,-4.9,4.9,-2.9,50.0,7.5
CIV,2012,10.9,1.3,-2.3,24.7,-0.9
CIV,2013,9.3,2.6,-1.6,24.6,-1.0
CIV,2014,8.8,0.5,-1.6,26.7,1.0
CIV,2015,8.8,1.1,-2.0,29.2,-0.4
CIV,2016,7.2,0.8,-3.0,31.1,-0.9
CIV,2017,7.4,0.7,-3.3,32.6,-2.0
CIV,2018,4.8,0.6,-2.9,35.3,-3.9
CIV,2019,6.7,0.8,-2.2,37.2,-2.2
CIV,2020,0.7,2.3,-5.4,46.3,-3.1
CIV,2021,7.1,4.2,-4.9,50.2,-3.9
CIV,2022,6.4,5.2,-6.7,56.0,-7.6
CIV,2023,6.6,4.4,-5.1,56.7,-8.0
CIV,2024,6.0,3.4,-4.0,59.5,-4.5
GNB,2000,1.1,8.6,-2.8,217.1,2.7
GNB,2001,4.8,3.3,-1.8,204.4,-3.9
GNB,2002,3.7,3.3,-3.7,197.5,-3.3
GNB,2003,-0.3,-3.5,-5.6,183.4,-2.5
GNB,2004,1.2,0.8,-5.9,202.0,-1.6
GNB,2005,6.6,3.4,-5.0,203.7,-1.6
GNB,2006,2.7,2.0,-4.6,190.4,-6.2
GNB,2007,2.6,4.6,-8.8,164.0,-4.1
GNB,2008,4.5,10.4,-0.7,148.8,-3.0
GNB,2009,2.4,-1.6,2.7,148.3,-5.4
GNB,2010,5.6,1.1,-0.2,61.7,-7.5
GNB,2011,8.1,5.1,-1.4,45.6,-1.2
GNB,2012,-1.7,2.1,-2.1,47.4,-7.9
GNB,2013,3.3,0.8,-1.7,49.6,-4.3
GNB,2014,1.0,-1.0,-2.4,60.1,0.5
GNB,2015,6.1,1.5,-3.2,56.3,1.8
GNB,2016,5.3,2.7,-5.3,59.1,1.4
GNB,2017,4.8,-0.2,-1.3,51.8,0.3
GNB,2018,3.8,0.4,-4.8,59.1,-3.5
GNB,2019,4.5,0.3,-3.9,65.1,-8.5
GNB,2020,1.5,1.5,-9.6,77.6,-2.6
GNB,2021,6.2,3.3,-5.9,78.8,-0.8
GNB,2022,4.6,7.9,-6.1,80.7,-8.6
GNB,2023,5.2,7.2,-8.2,79.4,-8.6
GNB,2024,4.8,3.7,-7.3,82.4,-7.4
MLI,2000,-1.6,-0.8,-2.2,77.0,-7.4
MLI,2001,11.8,5.2,-2.4,66.3,-7.6
MLI,2002,7.4,5.0,-2.6,36.0,-1.7
MLI,2003,5.2,-1.3,-1.0,37.7,-5.0
MLI,2004,-2.8,-3.1,-2.0,36.1,-5.8
MLI,2005,6.9,6.4,-2.3,39.5,-6.0
MLI,2006,5.0,1.6,23.7,15.4,-2.8
MLI,2007,4.1,1.4,-2.3,15.6,-4.7
MLI,2008,4.8,9.2,-1.7,17.3,-11.7
MLI,2009,4.9,2.4,-3.2,18.8,-9.4
MLI,2010,5.9,1.2,-2.2,21.8,-9.2
MLI,2011,3.8,3.0,-2.9,20.1,-4.2
MLI,2012,-0.3,5.3,-0.8,21.3,-1.8
MLI,2013,3.3,-0.6,-2.0,22.2,-2.4
MLI,2014,6.5,0.9,-2.4,22.6,-4.0
MLI,2015,6.2,1.4,-1.5,25.8,-4.5
MLI,2016,6.0,-1.8,-3.3,30.1,-6.1
MLI,2017,5.4,2.4,-2.4,30.1,-6.1
MLI,2018,4.9,1.9,-4.0,31.4,-4.1
MLI,2019,5.0,-3.0,-1.4,34.3,-6.3
MLI,2020,-1.2,0.5,-4.6,39.8,-1.8
MLI,2021,3.1,3.8,-4.1,43.2,-6.4
MLI,2022,3.7,9.7,-4.0,42.9,-6.5
MLI,2023,4.7,2.1,-3.0,44.3,-6.5
MLI,2024,5.0,3.2,-2.2,44.0,-4.3
NER,2000,-1.2,2.7,-2.8,82.1,-4.7
NER,2001,7.3,3.9,-2.6,74.0,-3.8
NER,2002,4.9,2.5,-2.2,69.0,-6.0
NER,2003,2.2,-1.5,-2.2,60.6,-6.5
NER,2004,0.4,0.2,-2.8,55.0,-6.2
NER,2005,7.3,7.8,-1.5,49.5,-7.1
NER,2006,5.9,0.0,31.0,18.3,-6.6
NER,2007,3.1,0.1,-0.7,17.8,-6.2
NER,2008,7.7,10.5,1.1,14.2,-9.0
NER,2009,2.0,1.2,-3.9,15.9,-18.1
NER,2010,8.6,0.9,-1.0,15.1,-14.5
NER,2011,2.4,2.9,-2.2,14.7,-16.4
NER,2012,10.5,0.5,-0.8,18.1,-10.9
NER,2013,5.3,2.3,-1.9,19.6,-11.3
NER,2014,6.6,-0.9,-6.1,22.1,-12.1
NER,2015,4.4,1.0,-6.7,29.9,-15.3
NER,2016,5.7,0.2,-4.5,32.8,-11.4
NER,2017,5.0,0.2,-4.1,36.5,-11.4
NER,2018,7.0,2.8,-3.0,37.0,-12.7
NER,2019,6.1,-2.5,-3.6,39.8,-12.2
NER,2020,3.5,2.9,-4.8,45.0,-13.2
NER,2021,1.4,3.8,-6.1,51.3,-14.1
NER,2022,11.9,4.2,-6.8,50.7,-16.2
NER,2023,2.4,3.7,-5.4,51.8,-13.9
NER,2024,10.3,9.1,-4.3,47.7,-5.6
SEN,2000,3.9,0.8,0.8,57.5,-5.5
SEN,2001,4.3,3.1,-1.4,53.2,-3.8
SEN,2002,0.1,2.4,0.2,52.0,-4.6
SEN,2003,5.6,0.0,-0.5,42.9,-5.0
SEN,2004,4.6,0.0,0.2,38.0,-5.1
SEN,2005,4.3,1.6,-0.3,36.1,-6.2
SEN,2006,2.3,2.2,-3.7,17.5,-6.2
SEN,2007,2.8,5.5,-2.8,19.0,-9.6
SEN,2008,3.7,6.2,-3.5,19.1,-11.3
SEN,2009,2.8,-1.0,-3.7,29.9,-5.3
SEN,2010,3.4,0.0,-3.9,34.6,-3.5
SEN,2011,1.3,3.4,-4.9,32.9,-6.5
SEN,2012,4.0,1.4,-4.2,34.5,-8.8
SEN,2013,2.4,0.7,-4.3,36.9,-8.3
SEN,2014,6.2,-1.1,-3.9,42.4,-7.0
SEN,2015,6.4,0.1,-3.7,44.5,-5.7
SEN,2016,6.4,0.8,-3.3,47.5,-4.2
SEN,2017,7.4,2.2,-3.0,61.1,-7.3
SEN,2018,6.2,0.5,-3.7,61.5,-8.8
SEN,2019,4.6,1.0,-13.9,81.5,-7.9
SEN,2020,1.3,2.5,-9.6,90.1,-11.9
SEN,2021,6.5,2.2,-13.7,98.7,-12.1
SEN,2022,3.9,9.7,-16.1,104.7,-19.9
SEN,2023,4.3,5.9,-14.8,118.4,-19.8
SEN,2024,6.1,0.8,-13.4,132.4,-11.3
TGO,2000,-1.0,1.9,-3.4,,-7.0
TGO,2001,0.8,3.9,-0.7,,-8.5
TGO,2002,3.8,3.1,-0.3,,-6.1
TGO,2003,6.7,-0.9,1.4,,-5.7
TGO,2004,-1.0,0.4,0.6,,-6.8
TGO,2005,-4.7,6.8,-1.7,63.1,-6.6
TGO,2006,2.7,2.2,-1.9,67.7,-5.6
TGO,2007,1.2,0.9,-1.8,70.5,-5.7
TGO,2008,4.0,8.7,-0.6,67.3,-4.9
TGO,2009,5.5,1.9,-2.6,57.6,-3.8
TGO,2010,5.9,3.2,-1.7,33.5,-3.6
TGO,2011,5.8,3.6,-4.5,37.0,-4.9
TGO,2012,6.3,2.6,-4.6,34.3,-4.7
TGO,2013,5.8,1.8,-5.1,41.1,-8.7
TGO,2014,5.6,0.2,-7.1,44.9,-6.6
TGO,2015,5.5,1.8,-7.0,52.4,-7.5
TGO,2016,5.7,0.9,-7.0,59.9,-7.2
TGO,2017,4.0,-0.2,-0.2,57.1,-1.5
TGO,2018,4.8,0.9,-0.6,58.0,-2.6
TGO,2019,4.9,0.7,1.7,54.9,-0.8
TGO,2020,2.2,1.8,-7.0,61.4,-0.3
TGO,2021,5.1,4.5,-4.5,63.3,-2.2
TGO,2022,6.3,7.6,-7.8,63.0,-3.3
TGO,2023,6.2,5.3,-6.3,64.1,-3.8
TGO,2024,6.3,2.9,-6.8,66.2,-2.4
